seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
AGENT,3.0,BHK,Independent Floor,Jangpura,"45,000",1800.0,Semi-Furnished,3 bathrooms,28.5830386,77.2393151
AGENT,3.0,BHK,Independent Floor,Nizamuddin West,"70,000",1800.0,Semi-Furnished,3 bathrooms,28.588365,77.2449546
AGENT,3.0,BHK,Independent House,Nizamuddin West,"71,000",1800.0,Semi-Furnished,3 bathrooms,28.588365,77.2449546
AGENT,3.0,BHK,Independent Floor,Jangpura,"85,000",1800.0,Semi-Furnished,3 bathrooms,28.5830386,77.2393151
AGENT,2.0,BHK,Independent Floor,mayur vihar phase 1,"12,000",600.0,Semi-Furnished,1 bathrooms,28.6036425,77.2909319
AGENT,2.0,BHK,Independent Floor,mayur vihar phase 1,"13,000",550.0,Semi-Furnished,1 bathrooms,28.6036425,77.2909319
AGENT,2.0,BHK,Independent Floor,mayur vihar phase 1,"13,000",550.0,Semi-Furnished,1 bathrooms,28.6036425,77.2909319
AGENT,2.0,BHK,Independent Floor,laxmi nagar,"17,000",600.0,Semi-Furnished,2 bathrooms,28.6305974,77.277523
AGENT,3.0,BHK,Apartment,Paschim Vihar,"25,000",850.0,Semi-Furnished,2 bathrooms,28.6695782,77.095956
AGENT,2.0,BHK,Apartment,Bali Nagar,"13,000",500.0,Unfurnished,2 bathrooms,28.6541384,77.128178
AGENT,2.0,BHK,Independent Floor,Chattarpur,"11,000",1200.0,Semi-Furnished,2 bathrooms,28.503846,77.183032
AGENT,3.0,BHK,Apartment,Patel Nagar,"40,000",1250.0,Furnished,Grfloor,28.6450527,77.1693179
AGENT,3.0,BHK,Independent Floor,Pitampura,"35,000",1450.0,Semi-Furnished,4 bathrooms,28.6995123,77.1301047
AGENT,2.0,BHK,Apartment,Bali Nagar,"13,000",500.0,Unfurnished,2 bathrooms,28.6541384,77.128178
AGENT,3.0,BHK,Apartment,Bali Nagar,"22,000",900.0,Furnished,3 bathrooms,28.6541384,77.128178
AGENT,1.0,RK,Studio Apartment,Kamla Nagar,"10,000",220.0,Furnished,,28.6806752,77.2039504
AGENT,1.0,BHK,Apartment,Chattarpur,"12,600",900.0,Semi-Furnished,1 bathrooms,28.503846,77.183032
AGENT,2.0,BHK,Apartment,Bali Nagar,"13,000",500.0,Unfurnished,2 bathrooms,28.6541384,77.128178
AGENT,2.0,BHK,Apartment,Bali Nagar,"13,000",500.0,Unfurnished,2 bathrooms,28.6541384,77.128178
AGENT,3.0,BHK,Apartment,Bali Nagar,"18,000",900.0,Semi-Furnished,3 bathrooms,28.6541384,77.128178
AGENT,2.0,BHK,Independent Floor,Dr Mukherji Nagar,"23,000",1440.0,Furnished,2 bathrooms,28.7057279,77.21372495156884
AGENT,2.0,BHK,Apartment,Chattarpur,"20,000",1000.0,Furnished,2 bathrooms,28.503846,77.183032
AGENT,3.0,BHK,Apartment,Chattarpur,"20,400",1200.0,Semi-Furnished,3 bathrooms,28.503846,77.183032
AGENT,2.0,BHK,Apartment,Bali Nagar,"13,000",500.0,Unfurnished,2 bathrooms,28.6541384,77.128178
AGENT,2.0,BHK,Apartment,Saket,"10,000",800.0,Semi-Furnished,2 bathrooms,28.5244107,77.2137253
