seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
OWNER,3.0,BHK,Apartment,Pallikaranai,"15,000",1300.0,Unfurnished,2 bathrooms,12.9304748,80.2077692
OWNER,2.0,BHK,Apartment,Anna Nagar East,"16,000",720.0,Semi-Furnished,2 bathrooms,13.0845523,80.2196163
OWNER,2.0,BHK,Independent Floor,Kolathur,"15,000",900.0,Semi-Furnished,2 bathrooms,13.1241127,80.2046276
OWNER,4.0,BHK,Villa,Rajakilpakkam,"20,000",2450.0,Semi-Furnished,3 bathrooms,12.9145851,80.1579056
OWNER,2.0,BHK,Apartment,Ambattur,"10,500",1000.0,Unfurnished,3 bathrooms,13.1128863,80.15986241084877
OWNER,2.0,BHK,Apartment,Valasaravakkam,"15,000",935.0,Semi-Furnished,2 bathrooms,13.0410164,80.1721682
OWNER,2.0,BHK,Independent House,Pallikaranai,"10,500",1200.0,Semi-Furnished,2 bathrooms,12.9304748,80.2077692
OWNER,2.0,BHK,Apartment,Nungambakkam,"50,000",1300.0,Furnished,2 bathrooms,13.0620626,80.240487
OWNER,4.0,BHK,Apartment,Gopalapuram,"70,000",2300.0,Furnished,3 bathrooms,17.134064799999997,81.53082656901205
OWNER,1.0,BHK,Apartment,Chetpet,"23,000",580.0,Semi-Furnished,2 bathrooms,12.508648999999998,79.31449862307821
OWNER,2.0,BHK,Apartment,Velachery,"15,000",800.0,Unfurnished,1 bathrooms,12.980165450000001,80.22285056225584
OWNER,2.0,BHK,Apartment,Korattur,"9,500",650.0,Semi-Furnished,2 bathrooms,13.1115392,80.1842767
OWNER,1.0,BHK,Independent House,Mogappair,"13,000",800.0,Semi-Furnished,1 bathrooms,13.0835142,80.1840779
OWNER,3.0,BHK,Independent House,Pallikaranai,"13,000",1350.0,Unfurnished,2 bathrooms,12.9304748,80.2077692
OWNER,3.0,BHK,Independent Floor,Egmore,"50,000",2400.0,Semi-Furnished,3 bathrooms,13.0728321,80.2576906
OWNER,1.0,BHK,Apartment,Pammal,"9,000",465.0,Semi-Furnished,1 bathrooms,12.9737938,80.1408
OWNER,2.0,BHK,Apartment,Chromepet,"13,000",950.0,Unfurnished,2 bathrooms,12.9521897,80.1411677
OWNER,3.0,BHK,Apartment,Porur,"28,000",1428.0,Semi-Furnished,3 bathrooms,13.0320131,80.158304
OWNER,2.0,BHK,Apartment,Sembakkam,"14,000",1180.0,Unfurnished,2 bathrooms,12.7023624,80.1298612
OWNER,2.0,BHK,Apartment,Sembakkam,"14,000",1180.0,Unfurnished,2 bathrooms,12.7023624,80.1298612
OWNER,1.0,BHK,Independent House,Mogappair,"7,000",400.0,Unfurnished,1 bathrooms,13.0835142,80.1840779
OWNER,1.0,BHK,Independent House,Mogappair,"7,000",400.0,Unfurnished,1 bathrooms,13.0835142,80.1840779
OWNER,1.0,BHK,Independent House,Choolaimedu,"8,500",500.0,Semi-Furnished,2 bathrooms,13.0623344,80.2254012
OWNER,2.0,BHK,Apartment,Perumbakkam,"25,000",1000.0,Furnished,2 bathrooms,12.2202453,78.9945343
OWNER,2.0,BHK,Apartment,Perumbakkam,"25,000",1000.0,Furnished,2 bathrooms,12.2202453,78.9945343
OWNER,2.0,BHK,Apartment,Perumbakkam,"25,000",1000.0,Furnished,2 bathrooms,12.2202453,78.9945343
OWNER,2.0,BHK,Apartment,Perumbakkam,"25,000",1000.0,Furnished,2 bathrooms,12.2202453,78.9945343
OWNER,3.0,BHK,Independent House,Urapakkam,"12,500",1500.0,Semi-Furnished,3 bathrooms,12.8636676,80.0721616
OWNER,3.0,BHK,Independent House,Urapakkam,"12,500",1500.0,Semi-Furnished,3 bathrooms,12.8636676,80.0721616
OWNER,3.0,BHK,Independent House,Urapakkam,"12,500",1500.0,Semi-Furnished,3 bathrooms,12.8636676,80.0721616
OWNER,3.0,BHK,Independent House,Urapakkam,"12,500",1500.0,Semi-Furnished,3 bathrooms,12.8636676,80.0721616
OWNER,3.0,BHK,Independent House,Urapakkam,"12,500",1500.0,Semi-Furnished,3 bathrooms,12.8636676,80.0721616
OWNER,3.0,BHK,Independent House,Urapakkam,"12,500",1500.0,Semi-Furnished,3 bathrooms,12.8636676,80.0721616
