seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
AGENT,2,BHK,Apartment,Gowlidody,"25,000",1600,Furnished,1 bathrooms,Not found,Not found
AGENT,2,BHK,Apartment,Gowlidody,"22,200",1600,Furnished,1 bathrooms,Not found,Not found
AGENT,1,BHK,Independent House,Gachibowli,"15,800",950,Semi-Furnished,,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Bollaram Industrial Area,"33,000",2032,Furnished,1 bathrooms,Not found,Not found
AGENT,2,BHK,Independent House,Sanath Nagar,"15,700",1200,Unfurnished,1 bathrooms,17.4522594,78.4446705
AGENT,1,BHK,Independent House,Erragadda,"13,560",800,Unfurnished,1 bathrooms,17.4487999,78.4356074
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,1,RK,Studio Apartment,Kondapur,"10,920",300,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,1,BHK,Independent House,Kondapur,"11,480",650,Unfurnished,1 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Independent House,Kukatpally,"15,000",1100,Unfurnished,2 bathrooms,17.4930841,78.4054408
AGENT,1,RK,Studio Apartment,Madhapur,"12,300",200,Semi-Furnished,1 bathrooms,17.4408924,78.3916304
AGENT,1,RK,Studio Apartment,Madhapur,"11,200",200,Semi-Furnished,1 bathrooms,17.4408924,78.3916304
AGENT,2,BHK,Independent House,Madhapur,"20,000",800,Semi-Furnished,2 bathrooms,17.4408924,78.3916304
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,2,BHK,Independent House,Madhapur,"20,000",800,Semi-Furnished,2 bathrooms,17.4408924,78.3916304
AGENT,3,BHK,Independent House,raidurgam,"43,500",1700,Furnished,2 bathrooms,Not found,Not found
AGENT,2,BHK,Apartment,Alwal,"13,400",1400,Unfurnished,,17.5022292,78.5088584
AGENT,1,RK,Studio Apartment,Gachibowli,"10,000",500,Semi-Furnished,,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Ameerpet,"65,700",2200,Semi-Furnished,1 bathrooms,17.4375012,78.4482505
AGENT,2,BHK,Independent House,Kukatpally,"20,000",1300,Semi-Furnished,,17.4930841,78.4054408
AGENT,2,BHK,Independent House,Uppal,"13,500",1200,Semi-Furnished,,17.4025091,78.5612562
AGENT,3,BHK,Independent House,Manikonda,"37,000",2500,Furnished,1 bathrooms,16.449897,80.8334595
AGENT,3,BHK,Independent House,Qutub Shahi Tombs,"16,800",1700,Unfurnished,1 bathrooms,17.39560535,78.39692303808157
AGENT,3,BHK,Apartment,Hakimpet,"63,900",2575,Furnished,,17.54970955,78.52413306848177
AGENT,4,BHK,Apartment,Toli Chowki,"42,000",1400,Furnished,1 bathrooms,Not found,Not found
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,3,BHK,Apartment,Lakdikapul,"27,800",2000,Furnished,3 bathrooms,17.4041136,78.4611649
AGENT,2,BHK,Independent House,Kondapur,"22,600",1200,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
AGENT,2,BHK,Independent House,Madhapur,"22,500",1300,Furnished,1 bathrooms,17.4408924,78.3916304
AGENT,3,BHK,Independent House,Madhapur,"36,200",1500,Furnished,,17.4408924,78.3916304
AGENT,4,BHK,Apartment,Kondapur,"35,600",1600,Furnished,4 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Independent House,Manikonda,"22,000",1600,Semi-Furnished,3 bathrooms,16.449897,80.8334595
AGENT,4,BHK,Apartment,Toli Chowki,"30,750",1800,Furnished,1 bathrooms,Not found,Not found
AGENT,1,BHK,Independent House,Manikonda,"13,200",500,Semi-Furnished,,16.449897,80.8334595
AGENT,1,BHK,Independent House,Manikonda,"13,200",500,Semi-Furnished,,16.449897,80.8334595
AGENT,3,BHK,Apartment,Ameerpet,"36,500",1800,Furnished,,17.4375012,78.4482505
AGENT,3,BHK,Apartment,Narsingi,"30,300",1290,Semi-Furnished,2 bathrooms,21.3679273,78.4456015
AGENT,1,RK,Studio Apartment,Madhapur,"12,300",200,Semi-Furnished,1 bathrooms,17.4408924,78.3916304
AGENT,2,BHK,Independent House,Kukatpally,"15,000",1100,Unfurnished,2 bathrooms,17.4930841,78.4054408
AGENT,2,BHK,Independent House,Bahadurpally,"12,800",1200,Unfurnished,2 bathrooms,17.5599332,78.4375047
AGENT,4,BHK,Apartment,Toli Chowki,"42,000",1400,Furnished,1 bathrooms,Not found,Not found
AGENT,2,BHK,Independent House,Manikonda,"18,000",1000,Semi-Furnished,2 bathrooms,16.449897,80.8334595
AGENT,2,BHK,Apartment,Gowlidody,"22,000",1500,Furnished,1 bathrooms,Not found,Not found
AGENT,1,RK,Studio Apartment,Shilpa Hills,"11,900",700,Unfurnished,1 bathrooms,17.4089646,78.4508183
AGENT,2,BHK,Apartment,Rasoolpura,"28,600",900,Furnished,1 bathrooms,26.5842673,75.895679
AGENT,2,BHK,Independent House,Kanchan Bagh,"10,000",750,Semi-Furnished,1 bathrooms,17.3401943,78.5099445
AGENT,3,BHK,Apartment,Bollaram Industrial Area,"22,500",1800,Semi-Furnished,1 bathrooms,Not found,Not found
AGENT,2,BHK,Independent House,Botiguda,"12,800",1665,Unfurnished,,17.432219,78.5053309
AGENT,1,BHK,Independent House,Manikonda,"13,200",500,Semi-Furnished,,16.449897,80.8334595
